OrderNo;FileName;ErrorsValue;ErrorProviderType;CorrectionBytesCount;DecoderType;ProvidedErrorsCount;ErrorsAfterDecoding;Time [ms];FileSize [pix]
20;lenaColor;16;GroupErrorsForEveryBlock;32;Simple;1744;576;55949;8100
21;lenaColor;1;SingleErrorsForEveryBlock;10;Simple;99;90;52377;8100
6;lenaColor;2;GroupErrorsForEveryBlock;16;Simple;204;126;54738;8100
22;lenaColor;1;SingleErrorsForEveryBlock;16;Simple;102;96;57288;8100
7;lenaColor;2;GroupErrorsForEveryBlock;24;Simple;210;126;56564;8100
8;lenaColor;2;GroupErrorsForEveryBlock;32;Simple;218;113;52626;8100
23;lenaColor;1;SingleErrorsForEveryBlock;24;Simple;105;92;55414;8100
24;lenaColor;1;SingleErrorsForEveryBlock;32;Simple;109;91;53737;8100
9;lenaColor;5;GroupErrorsForEveryBlock;10;Simple;495;222;58485;8100
25;lenaColor;2;SingleErrorsForEveryBlock;10;Simple;198;186;58348;8100
10;lenaColor;5;GroupErrorsForEveryBlock;16;Simple;510;226;56811;8100
11;lenaColor;5;GroupErrorsForEveryBlock;24;Simple;525;219;55512;8100
26;lenaColor;2;SingleErrorsForEveryBlock;16;Simple;204;195;58826;8100
12;lenaColor;5;GroupErrorsForEveryBlock;32;Simple;545;203;55514;8100
27;lenaColor;2;SingleErrorsForEveryBlock;24;Simple;210;191;63591;8100
13;lenaColor;10;GroupErrorsForEveryBlock;10;Simple;990;395;59396;8100
28;lenaColor;2;SingleErrorsForEveryBlock;32;Simple;218;185;58427;8100
14;lenaColor;10;GroupErrorsForEveryBlock;16;Simple;1020;387;58161;8100
29;lenaColor;5;SingleErrorsForEveryBlock;10;Simple;495;462;57831;8100
15;lenaColor;10;GroupErrorsForEveryBlock;24;Simple;1050;392;60094;8100
30;lenaColor;5;SingleErrorsForEveryBlock;16;Simple;510;452;60426;8100
16;lenaColor;10;GroupErrorsForEveryBlock;32;Simple;1090;384;56211;8100
31;lenaColor;5;SingleErrorsForEveryBlock;24;Simple;525;453;58587;8100
17;lenaColor;16;GroupErrorsForEveryBlock;10;Simple;1584;585;57762;8100
32;lenaColor;5;SingleErrorsForEveryBlock;32;Simple;545;460;56650;8100
33;lenaColor;10;SingleErrorsForEveryBlock;10;Simple;990;889;46291;8100
34;lenaColor;10;SingleErrorsForEveryBlock;16;Simple;1020;900;45664;8100
35;lenaColor;10;SingleErrorsForEveryBlock;24;Simple;1050;900;48930;8100
36;lenaColor;10;SingleErrorsForEveryBlock;32;Simple;1090;885;45470;8100
37;lenaColor;16;SingleErrorsForEveryBlock;10;Simple;1584;1397;43790;8100
38;lenaColor;16;SingleErrorsForEveryBlock;16;Simple;1632;1395;49458;8100
39;lenaColor;16;SingleErrorsForEveryBlock;24;Simple;1680;1380;49318;8100
40;lenaColor;16;SingleErrorsForEveryBlock;32;Simple;1744;1390;45849;8100
41;lenaGray;1;GroupErrorsForEveryBlock;10;Extended;99;0;580;8100
42;lenaGray;1;GroupErrorsForEveryBlock;16;Extended;102;0;587;8100
43;lenaGray;1;GroupErrorsForEveryBlock;24;Extended;105;1;642;8100
44;lenaGray;1;GroupErrorsForEveryBlock;32;Extended;109;0;604;8100
45;lenaGray;2;GroupErrorsForEveryBlock;10;Extended;198;0;544;8100
46;lenaGray;2;GroupErrorsForEveryBlock;16;Extended;204;1;579;8100
47;lenaGray;2;GroupErrorsForEveryBlock;24;Extended;210;2;605;8100
48;lenaGray;2;GroupErrorsForEveryBlock;32;Extended;218;0;680;8100
49;lenaGray;5;GroupErrorsForEveryBlock;10;Extended;495;0;604;8100
50;lenaGray;5;GroupErrorsForEveryBlock;16;Extended;510;0;638;8100
